from_country,to_country,refugees
AFG,ALB,14
AFG,ARE,47
AFG,ARG,11
AFG,ARM,9
AFG,AUL,7787
AFG,AUS,45282
AFG,AZE,1161
AFG,BEL,6238
AFG,BGD,5
AFG,BLR,118
AFG,BRA,267
AFG,BSN,5
AFG,BUL,319
AFG,CAN,987
AFG,CHI,31
AFG,CHL,19
AFG,COL,9
AFG,CUB,12
AFG,CYP,43
AFG,CZE,187
AFG,DEN,1625
AFG,ECU,147
AFG,EST,33
AFG,FIJ,5
AFG,FIN,3855
AFG,FRA,63506
AFG,GBR,11265
AFG,GEO,78
AFG,GFR,180810
AFG,GHA,10
AFG,GRE,35467
AFG,HKG,11
AFG,HRV,99
AFG,HUN,1452
AFG,ICE,227
AFG,IND,9858
AFG,INS,5872
AFG,IRE,1324
AFG,IRN,3413249
AFG,IRQ,14
AFG,ITA,18367
AFG,JOR,8
AFG,JPN,570
AFG,KAZ,285
AFG,KEN,18
AFG,KGZ,189
AFG,KOR,50
AFG,LEB,33
AFG,LKA,87
AFG,LTU,265
AFG,LUX,531
AFG,LVA,207
AFG,MAD,16
AFG,MDA,27
AFG,MEX,6
AFG,MLS,1860
AFG,MNG,5
AFG,MOR,12
AFG,NEP,52
AFG,NET,8420
AFG,NIG,5
AFG,NOR,3041
AFG,NRU,5
AFG,NZL,62
AFG,PAK,1743278
AFG,PAN,5
AFG,PHI,10
AFG,PNG,18
AFG,POL,919
AFG,POR,679
AFG,ROM,420
AFG,RSA,5
AFG,RUS,1324
AFG,SPA,2693
AFG,SRB,33
AFG,SVK,382
AFG,SVN,67
AFG,SWE,26197
AFG,SWI,16520
AFG,SYR,1172
AFG,THA,128
AFG,TJK,8601
AFG,TKM,9
AFG,TUR,10581
AFG,UAE,10
AFG,UGA,33
AFG,UKR,1039
AFG,URU,6
AFG,USA,8931
AFG,UZB,13026
AFG,VEN,10
AIA,MDA,5
ALB,ARG,18
ALB,AUL,34
ALB,AUS,49
ALB,BEL,518
ALB,CAN,229
ALB,ECU,6
ALB,FIN,6
ALB,FRA,10844
ALB,GBR,4697
ALB,GFR,1267
ALB,GRE,190
ALB,ICE,5
ALB,IRE,221
ALB,ITA,891
ALB,LUX,47
ALB,MEX,8
ALB,NET,8
ALB,NOR,18
ALB,SPA,13
ALB,SWE,229
ALB,SWI,116
ALB,USA,1433
ALG,ARG,31
ALG,AUL,8
ALG,AUS,27
ALG,BEL,109
ALG,BRA,9
ALG,CAN,784
ALG,CYP,8
ALG,FIN,9
ALG,FRA,3267
ALG,GBR,305
ALG,GFR,937
ALG,GRE,150
ALG,HUN,14
ALG,IRE,74
ALG,ITA,38
ALG,KOR,8
ALG,LUX,30
ALG,MDA,5
ALG,MEX,5
ALG,MOR,9
ALG,NET,422
ALG,NOR,9
ALG,PAK,22
ALG,POL,30
ALG,POR,779
ALG,ROM,5
ALG,RSA,5
ALG,SPA,188
ALG,SWE,61
ALG,SWI,205
ALG,SYR,5
ALG,TUN,14
ALG,USA,131
AND,SUD,5
ANG,ARG,14
ANG,AUS,36
ANG,BEL,80
ANG,BRA,1189
ANG,CAN,558
ANG,CAR,13
ANG,CMR,5
ANG,COB,15
ANG,COD,365
ANG,ECU,5
ANG,FIN,45
ANG,FRA,7001
ANG,GBR,141
ANG,GFR,798
ANG,GRE,21
ANG,HUN,5
ANG,INS,7
ANG,IRE,47
ANG,ITA,5
ANG,LUX,9
ANG,MEX,13
ANG,MOZ,5
ANG,NAM,5
ANG,NET,28
ANG,NOR,5
ANG,POL,6
ANG,POR,137
ANG,ROM,9
ANG,RSA,22
ANG,RWA,9
ANG,SPA,38
ANG,SVK,24
ANG,SWA,12
ANG,SWE,21
ANG,SWI,653
ANG,UKR,26
ANG,URU,14
ANG,USA,365
ANT,CAN,37
ANT,GBR,10
ANT,TRT,5
ANT,USA,6
ARE,ALB,8
ARE,ARG,5
ARE,ARM,5
ARE,AUL,1093
ARE,AUS,221
ARE,BEL,95
ARE,BRA,73
ARE,BUL,17
ARE,CAN,854
ARE,COS,5
ARE,CYP,125
ARE,CZE,7
ARE,DEN,24
ARE,ECU,12
ARE,EST,5
ARE,ETH,5
ARE,FIN,45
ARE,FRA,1769
ARE,GBR,1062
ARE,GEO,68
ARE,GFR,1840
ARE,GRE,459
ARE,HKG,13
ARE,HRV,8
ARE,HUN,12
ARE,ICE,11
ARE,ICO,5
ARE,INS,12
ARE,IRE,54
ARE,ITA,776
ARE,JOR,125
ARE,KEN,5
ARE,KOR,129
ARE,KUW,5
ARE,LEB,145
ARE,LTU,7
ARE,LUX,8
ARE,LVA,9
ARE,MDA,8
ARE,MEX,5
ARE,MLS,16
ARE,MOR,5
ARE,MTA,74
ARE,NET,581
ARE,NOR,47
ARE,NZL,16
ARE,POL,101
ARE,POR,125
ARE,QAT,13
ARE,ROM,24
ARE,RSA,5
ARE,RUS,5
ARE,SPA,121
ARE,SUD,18
ARE,SVK,17
ARE,SWE,408
ARE,SWI,155
ARE,SYR,31
ARE,THA,18
ARE,UAE,5
ARE,UGA,8
ARE,USA,13383
ARE,YEM,17
ARG,BOL,13
ARG,BRA,6
ARG,CAN,17
ARG,ECU,5
ARG,FRA,18
ARG,GFR,18
ARG,ITA,13
ARG,MEX,5
ARG,NET,10
ARG,SPA,55
ARG,USA,18
ARM,ARG,77
ARM,AUS,295
ARM,BEL,300
ARM,BLR,5
ARM,BRA,5
ARM,BUL,61
ARM,CAN,8
ARM,CYP,26
ARM,CZE,19
ARM,DEN,82
ARM,FRA,6380
ARM,GBR,52
ARM,GFR,4272
ARM,GRE,13
ARM,HRV,5
ARM,HUN,46
ARM,IRE,11
ARM,ITA,224
ARM,LTU,7
ARM,LUX,10
ARM,LVA,11
ARM,MDA,140
ARM,NET,234
ARM,NOR,15
ARM,POL,186
ARM,POR,17
ARM,ROM,36
ARM,RUS,30
ARM,SPA,159
ARM,SRB,5
ARM,SVK,54
ARM,SWE,333
ARM,SWI,213
ARM,UKR,45
ARM,USA,1468
AUL,GBR,5
AUL,GFR,11
AUL,MDA,5
AUL,POL,5
AUL,POR,5
AUS,GFR,5
AUS,MDA,13
AUS,SWI,5
AUS,USA,18
AZE,ARM,27933
AZE,AUL,11
AZE,AUS,151
AZE,BEL,127
AZE,BLR,5
AZE,BSN,5
AZE,BUL,10
AZE,CAN,112
AZE,CZE,34
AZE,DEN,45
AZE,EST,19
AZE,FIN,85
AZE,FRA,4679
AZE,GBR,149
AZE,GFR,5315
AZE,HRV,8
AZE,HUN,18
AZE,ICE,5
AZE,IRE,5
AZE,ITA,17
AZE,LTU,32
AZE,LUX,18
AZE,LVA,21
AZE,MDA,727
AZE,NET,349
AZE,NOR,34
AZE,POL,290
AZE,POR,15
AZE,ROM,50
AZE,RUS,43
AZE,SPA,81
AZE,SVK,25
AZE,SVN,5
AZE,SWE,645
AZE,SWI,300
AZE,TKM,5
AZE,UKR,56
AZE,USA,584
BAH,AUL,38
BAH,CAN,17
BAH,DEN,5
BAH,FRA,22
BAH,GBR,87
BAH,GFR,45
BAH,IRE,12
BAH,LEB,13
BAH,NET,14
BAH,NZL,7
BAH,SWE,16
BAH,SYR,5
BAH,USA,21
BAR,CAN,216
BAR,GBR,15
BDI,ANG,17
BDI,ARE,56
BDI,ARG,5
BDI,AUL,53
BDI,AUS,18
BDI,BEL,2156
BDI,BEN,5
BDI,BKF,20
BDI,BOT,48
BDI,BRA,48
BDI,CAN,740
BDI,CAR,24
BDI,CHD,6
BDI,CMR,55
BDI,COB,78
BDI,COD,43623
BDI,COS,9
BDI,CZE,5
BDI,DEN,5
BDI,ETH,64
BDI,FIN,7
BDI,FRA,2073
BDI,GAB,5
BDI,GBR,54
BDI,GFR,104
BDI,GHA,14
BDI,GRE,84
BDI,GUI,5
BDI,HKG,9
BDI,ICO,34
BDI,IRE,26
BDI,ITA,6
BDI,JPN,9
BDI,KEN,8159
BDI,KOR,49
BDI,LUX,5
BDI,MLI,17
BDI,MLW,6573
BDI,MOR,9
BDI,MOZ,946
BDI,NAM,359
BDI,NET,77
BDI,NOR,31
BDI,PHI,13
BDI,ROM,6
BDI,RSA,2360
BDI,RWA,48367
BDI,SEN,5
BDI,SPA,9
BDI,SRB,9
BDI,SSD,301
BDI,SUD,12
BDI,SVK,5
BDI,SWA,187
BDI,SWE,223
BDI,SWI,196
BDI,TAN,155307
BDI,TOG,5
BDI,TUN,8
BDI,UGA,39104
BDI,UKR,5
BDI,USA,782
BDI,ZAM,7230
BDI,ZIM,712
BEL,CAN,5
BEL,GFR,7
BEL,MDA,10
BEL,USA,6
BEN,AUS,5
BEN,BEL,33
BEN,BRA,5
BEN,CAN,50
BEN,FRA,261
BEN,GBR,11
BEN,GFR,101
BEN,GHA,13
BEN,ITA,165
BEN,MEX,5
BEN,NIG,5
BEN,POR,5
BEN,RSA,5
BEN,SPA,5
BEN,SWE,10
BEN,SWI,24
BEN,TOG,37
BEN,USA,76
BGD,ARG,5
BGD,AUL,418
BGD,AUS,382
BGD,BEL,15
BGD,BRA,37
BGD,BUL,7
BGD,CAN,1092
BGD,CYP,12
BGD,DEN,17
BGD,ECU,5
BGD,FIN,23
BGD,FRA,9573
BGD,GBR,1943
BGD,GFR,551
BGD,GRE,391
BGD,HKG,16
BGD,HRV,10
BGD,HUN,11
BGD,ICE,5
BGD,IND,8
BGD,IRE,99
BGD,ITA,5143
BGD,JPN,18
BGD,KOR,130
BGD,MEX,12
BGD,MLS,39
BGD,MTA,15
BGD,NET,136
BGD,NOR,5
BGD,NRU,5
BGD,NZL,14
BGD,PER,26
BGD,PNG,5
BGD,POL,16
BGD,POR,155
BGD,ROM,13
BGD,RSA,153
BGD,RUS,5
BGD,SOM,6
BGD,SPA,29
BGD,SWE,235
BGD,SWI,53
BGD,TRT,8
BGD,USA,3086
BHS,CAN,603
BHS,USA,178
BHU,AUL,5
BHU,BRA,31
BHU,CAN,5
BHU,FRA,170
BHU,GBR,15
BHU,GFR,19
BHU,IRE,8
BHU,LUX,5
BHU,NEP,6365
BHU,NET,40
BHU,USA,34
BKF,ALG,12
BKF,AUS,5
BKF,BEL,84
BKF,BEN,193
BKF,BRA,124
BKF,CAN,103
BKF,ECU,5
BKF,FIN,5
BKF,FRA,690
BKF,GBR,13
BKF,GFR,99
BKF,GRE,55
BKF,ICO,3375
BKF,ITA,919
BKF,LUX,6
BKF,MAU,23
BKF,MEX,17
BKF,MLI,25800
BKF,MOR,7
BKF,MTA,5
BKF,NET,11
BKF,SPA,247
BKF,SWE,5
BKF,SWI,24
BKF,TUN,21
BKF,USA,1470
BLR,AUL,7
BLR,AUS,37
BLR,BEL,70
BLR,BRA,5
BLR,BUL,30
BLR,CAN,19
BLR,CZE,174
BLR,DEN,14
BLR,EST,23
BLR,FIN,32
BLR,FRA,901
BLR,GBR,98
BLR,GFR,1070
BLR,GRE,8
BLR,HRV,15
BLR,HUN,7
BLR,ICE,6
BLR,IRE,22
BLR,ISR,5
BLR,ITA,134
BLR,LTU,306
BLR,LUX,7
BLR,LVA,154
BLR,MDA,74
BLR,MNE,5
BLR,MTA,9
BLR,NET,108
BLR,NOR,16
BLR,PAN,7
BLR,POL,5547
BLR,POR,499
BLR,ROM,44
BLR,SPA,279
BLR,SVK,45
BLR,SVN,8
BLR,SWE,118
BLR,SWI,164
BLR,UKR,42
BLR,USA,1459
BOL,ARG,56
BOL,BRA,158
BOL,CAN,30
BOL,COL,5
BOL,FRA,70
BOL,GBR,23
BOL,GFR,8
BOL,IRE,31
BOL,ITA,5
BOL,PAR,20
BOL,PER,20
BOL,SPA,13
BOL,SWE,51
BOL,SWI,5
BOL,URU,6
BOL,USA,75
BOT,CAN,7
BOT,GBR,37
BOT,GFR,5
BOT,IRE,32
BRA,AUL,9
BRA,BEL,18
BRA,CAN,153
BRA,ECU,5
BRA,FIN,5
BRA,FRA,89
BRA,GBR,46
BRA,GFR,36
BRA,IRE,46
BRA,ITA,411
BRA,LUX,6
BRA,MEX,338
BRA,NET,8
BRA,PER,5
