from_country,to_country,refugees
AFG,ARE,20
AFG,ARG,5
AFG,AUL,11932
AFG,AUS,33103
AFG,AZE,636
AFG,BEL,3201
AFG,BLR,208
AFG,BRA,121
AFG,BUL,205
AFG,CAN,3603
AFG,CHI,9
AFG,CHL,13
AFG,COL,9
AFG,CUB,42
AFG,CYP,14
AFG,CZE,46
AFG,DEN,2750
AFG,ECU,141
AFG,EST,8
AFG,FIN,2944
AFG,FRA,18534
AFG,GBR,9839
AFG,GEO,5
AFG,GFR,126018
AFG,GRE,9291
AFG,HRV,53
AFG,HUN,1552
AFG,ICE,58
AFG,IND,6984
AFG,INS,6098
AFG,IRE,289
AFG,IRN,951142
AFG,IRQ,12
AFG,ITA,16941
AFG,JOR,8
AFG,JPN,55
AFG,KAZ,538
AFG,KEN,8
AFG,KGZ,223
AFG,KOR,38
AFG,LEB,17
AFG,LIE,5
AFG,LKA,146
AFG,LTU,222
AFG,LUX,43
AFG,LVA,67
AFG,MAD,5
AFG,MCD,5
AFG,MDA,18
AFG,MLS,647
AFG,MNG,5
AFG,MOR,5
AFG,NEP,55
AFG,NET,6267
AFG,NIG,5
AFG,NOR,6065
AFG,NRU,81
AFG,NZL,47
AFG,PAK,1403521
AFG,PAN,5
AFG,PHI,14
AFG,PNG,118
AFG,POL,110
AFG,POR,16
AFG,ROM,155
AFG,RUS,789
AFG,SPA,338
AFG,SRB,1726
AFG,SUD,6
AFG,SVK,260
AFG,SVN,48
AFG,SWE,28204
AFG,SWI,12282
AFG,SYR,1229
AFG,THA,136
AFG,TJK,2649
AFG,TKM,14
AFG,TUR,6606
AFG,UAE,5
AFG,UKR,1013
AFG,USA,1599
AFG,UZB,13
AFG,VEN,10
ALB,ARG,18
ALB,AUL,55
ALB,AUS,81
ALB,BEL,534
ALB,CAN,911
ALB,DEN,5
ALB,ECU,6
ALB,FIN,5
ALB,FRA,5119
ALB,GBR,2617
ALB,GFR,1170
ALB,GRE,156
ALB,ICE,6
ALB,IRE,91
ALB,ITA,684
ALB,LUX,82
ALB,MEX,8
ALB,NET,6
ALB,NOR,19
ALB,SWE,331
ALB,SWI,92
ALB,USA,1516
ALG,ARG,30
ALG,AUL,8
ALG,AUS,42
ALG,BEL,46
ALG,BRA,7
ALG,CAN,443
ALG,CYP,8
ALG,DEN,5
ALG,FIN,15
ALG,FRA,1790
ALG,GBR,337
ALG,GFR,589
ALG,GRE,86
ALG,HUN,15
ALG,IRE,43
ALG,ITA,199
ALG,JOR,5
ALG,KOR,6
ALG,LBY,5
ALG,MOR,6
ALG,NET,16
ALG,NOR,8
ALG,NZL,5
ALG,PAK,22
ALG,POL,5
ALG,ROM,5
ALG,SPA,48
ALG,SWE,60
ALG,SWI,162
ALG,SYR,5
ALG,TUN,8
ALG,TUR,5
ALG,USA,147
ANG,ARG,14
ANG,AUS,77
ANG,BEL,91
ANG,BRA,1133
ANG,CAN,132
ANG,CAR,14
ANG,CMR,5
ANG,COB,317
ANG,COD,490
ANG,ECU,5
ANG,FIN,111
ANG,FRA,3541
ANG,GBR,178
ANG,GFR,846
ANG,GRE,5
ANG,HUN,5
ANG,IRE,50
ANG,ITA,31
ANG,KOR,5
ANG,LUX,15
ANG,MEX,5
ANG,MOZ,5
ANG,NET,51
ANG,NOR,14
ANG,ROM,5
ANG,RSA,25
ANG,RWA,8
ANG,SPA,6
ANG,SVK,24
ANG,SWA,11
ANG,SWE,29
ANG,SWI,750
ANG,TUR,5
ANG,UKR,24
ANG,URU,9
ANG,USA,207
ANT,CAN,97
ANT,GBR,5
ANT,USA,5
ARE,ALB,5
ARE,ARG,5
ARE,AUL,1564
ARE,AUS,208
ARE,BEL,50
ARE,BLR,5
ARE,BRA,39
ARE,BUL,15
ARE,CAN,1764
ARE,CYP,110
ARE,CZE,5
ARE,DEN,16
ARE,ETH,5
ARE,FIN,14
ARE,FRA,980
ARE,GBR,758
ARE,GEO,43
ARE,GFR,2122
ARE,GRE,264
ARE,HKG,5
ARE,HRV,7
ARE,HUN,13
ARE,INS,16
ARE,IRE,19
ARE,ITA,2289
ARE,JOR,105
ARE,KOR,26
ARE,LEB,70
ARE,LUX,5
ARE,LVA,5
ARE,MDA,5
ARE,MEX,5
ARE,MLS,8
ARE,MTA,74
ARE,NET,242
ARE,NOR,59
ARE,NZL,28
ARE,POL,65
ARE,QAT,9
ARE,ROM,21
ARE,SPA,15
ARE,SUD,17
ARE,SVK,5
ARE,SWE,362
ARE,SWI,110
ARE,SYR,35
ARE,THA,15
ARE,TUR,59
ARE,UKR,5
ARE,USA,13163
ARE,YEM,16
ARG,BRA,6
ARG,CAN,20
ARG,FRA,5
ARG,GFR,14
ARG,ITA,7
ARG,MEX,5
ARG,NET,5
ARG,RUS,5
ARG,USA,45
ARM,ARG,77
ARM,AUS,509
ARM,BEL,127
ARM,BLR,5
ARM,BRA,5
ARM,BUL,15
ARM,CAN,83
ARM,CYP,26
ARM,CZE,29
ARM,DEN,71
ARM,FRA,4197
ARM,GBR,59
ARM,GFR,2474
ARM,GRE,11
ARM,HUN,48
ARM,IRE,9
ARM,ITA,319
ARM,LIE,8
ARM,LTU,5
ARM,LUX,6
ARM,MDA,19
ARM,NET,399
ARM,POL,78
ARM,POR,5
ARM,SPA,29
ARM,SVK,34
ARM,SWE,413
ARM,SWI,152
ARM,UKR,189
ARM,USA,1639
AUL,GBR,5
AUL,GFR,5
