from_country,to_country,refugees
AFG,ARG,5
AFG,AUL,7675
AFG,AUS,14793
AFG,AZE,618
AFG,BEL,5038
AFG,BLR,399
AFG,BRA,52
AFG,BUL,212
AFG,CAN,2704
AFG,CHI,7
AFG,CHL,14
AFG,CUB,5
AFG,CYP,7
AFG,CZE,228
AFG,DEN,2130
AFG,ECU,112
AFG,EST,15
AFG,FIJ,7
AFG,FIN,1443
AFG,FRA,3838
AFG,GBR,9054
AFG,GEO,5
AFG,GFR,27814
AFG,GRE,1451
AFG,HKG,5
AFG,HRV,21
AFG,HUN,819
AFG,ICE,11
AFG,IND,10395
AFG,INS,1681
AFG,IRE,158
AFG,IRN,950000
AFG,IRQ,5
AFG,ITA,8991
AFG,JOR,8
AFG,JPN,34
AFG,KAZ,578
AFG,KEN,5
AFG,KGZ,386
AFG,KOR,16
AFG,LEB,19
AFG,LKA,34
AFG,LTU,186
AFG,LUX,35
AFG,LVA,28
AFG,MDA,18
AFG,MLS,184
AFG,NEP,16
AFG,NET,6244
AFG,NIG,5
AFG,NOR,5454
AFG,NRU,29
AFG,NZL,36
AFG,PAK,1504912
AFG,PHI,5
AFG,PNG,27
AFG,POL,93
AFG,POR,10
AFG,ROM,120
AFG,RSA,10
AFG,RUS,1104
AFG,RWA,6
AFG,SPA,144
AFG,SVK,278
AFG,SVN,23
AFG,SWE,12090
AFG,SWI,4119
AFG,SYR,1214
AFG,THA,8
AFG,TJK,1975
AFG,TKM,19
AFG,TUR,4188
AFG,UAE,5
AFG,UKR,1544
AFG,USA,1210
AFG,UZB,123
AFG,VEN,5
ALB,ARG,25
ALB,AUL,65
ALB,AUS,118
ALB,BEL,439
ALB,CAN,1530
ALB,CZE,11
ALB,DEN,20
ALB,ECU,6
ALB,FIN,5
ALB,FRA,2522
ALB,GBR,1371
ALB,GFR,366
ALB,GRE,139
ALB,ICE,5
ALB,IRE,68
ALB,ITA,256
ALB,LUX,58
ALB,MEX,5
ALB,NET,15
ALB,NOR,30
ALB,SPA,15
ALB,SWE,289
ALB,SWI,47
ALB,USA,2751
ALG,ARE,5
ALG,ARG,41
ALG,AUL,13
ALG,AUS,53
ALG,BEL,37
ALG,BRA,7
ALG,CAN,346
ALG,CYP,5
ALG,DEN,9
ALG,FIN,20
ALG,FRA,1353
ALG,GBR,378
ALG,GFR,301
ALG,GRE,31
ALG,HUN,10
ALG,IRE,184
ALG,ITA,113
ALG,KOR,5
ALG,LBY,5
ALG,LES,7
ALG,NET,35
ALG,NOR,22
ALG,NZL,9
ALG,PAK,17
ALG,POL,5
ALG,ROM,5
ALG,RSA,5
ALG,SEN,9
ALG,SPA,38
ALG,SWE,74
ALG,SWI,166
ALG,SYR,9
ALG,TUN,15
ALG,TUR,5
ALG,USA,172
AND,USA,5
ANG,ARG,13
ANG,AUS,133
ANG,BEL,63
ANG,BRA,1070
ANG,CAN,445
ANG,CAR,15
ANG,CMR,12
ANG,COB,467
ANG,COD,558
ANG,CZE,18
ANG,FIN,180
ANG,FRA,3338
ANG,GAB,5
ANG,GBR,375
ANG,GFR,800
ANG,HUN,5
ANG,ICO,5
ANG,IRE,244
ANG,ITA,36
ANG,KOR,5
ANG,LUX,13
ANG,MEX,5
ANG,MOZ,5
ANG,NET,359
ANG,NOR,76
ANG,RWA,6
ANG,SPA,12
ANG,SWA,8
ANG,SWE,70
ANG,SWI,975
ANG,UKR,30
ANG,USA,122
ANT,CAN,48
ANT,USA,5
ARE,ALB,5
ARE,ARG,5
ARE,AUL,1370
ARE,AUS,124
ARE,BEL,29
ARE,BLR,6
ARE,BRA,8
ARE,BUL,14
ARE,CAN,684
ARE,CYP,77
ARE,FIN,6
ARE,FRA,662
ARE,GBR,351
ARE,GEO,5
ARE,GFR,355
ARE,GRE,92
ARE,HKG,8
ARE,HUN,10
ARE,INS,13
ARE,IRE,41
ARE,ITA,1145
ARE,JOR,44
ARE,KEN,5
ARE,KOR,5
ARE,KUW,5
ARE,LBY,5
ARE,LEB,26
ARE,LUX,5
ARE,LVA,5
ARE,MDA,5
ARE,MTA,30
ARE,NET,189
ARE,NOR,26
ARE,NZL,23
ARE,POL,31
ARE,ROM,17
ARE,RSA,5
ARE,RUS,23
ARE,SPA,16
ARE,SUD,10
ARE,SWE,228
ARE,SWI,64
ARE,SYR,18
ARE,THA,5
ARE,TUR,22
ARE,UGA,5
ARE,UKR,5
ARE,USA,10047
ARE,YEM,15
ARE,ZIM,5
ARG,BEL,5
ARG,BRA,11
ARG,CAN,191
ARG,FRA,5
ARG,GFR,14
ARG,USA,85
ARM,ARG,122
ARM,AUL,5
ARM,AUS,996
ARM,BEL,133
ARM,BLR,6
ARM,BRA,5
ARM,BUL,25
ARM,CAN,189
ARM,CYP,23
ARM,CZE,67
ARM,DEN,74
ARM,ECU,5
ARM,FRA,4063
ARM,GBR,34
ARM,GFR,1127
ARM,GRE,13
ARM,HUN,30
ARM,ICE,5
ARM,IRE,10
ARM,ITA,225
ARM,LIE,8
ARM,LTU,5
ARM,MDA,24
ARM,NET,811
ARM,NOR,14
ARM,POL,80
ARM,POR,5
ARM,SPA,22
ARM,SUD,5
ARM,SVK,10
ARM,SWE,573
ARM,SWI,108
ARM,UKR,201
ARM,USA,2816
AUL,CAN,6
AUL,GBR,5
AUL,GFR,11
AUL,SWE,5
AUS,USA,5
AZE,ARM,1554
AZE,AUS,419
AZE,BEL,32
AZE,BLR,15
AZE,CAN,455
AZE,CZE,27
AZE,DEN,76
AZE,FIN,18
AZE,FRA,2771
AZE,GBR,86
AZE,GFR,2167
AZE,GRE,10
AZE,HUN,12
AZE,IRE,12
AZE,ITA,69
AZE,LTU,5
AZE,LUX,14
AZE,LVA,5
AZE,MDA,9
AZE,NET,1136
AZE,NOR,46
AZE,POL,11
AZE,RUS,11
AZE,SPA,38
AZE,SWE,856
AZE,SWI,74
AZE,TKM,15
AZE,TUR,5
AZE,UKR,176
AZE,USA,384
BAH,AUL,91
BAH,CAN,10
BAH,GBR,124
BAH,GFR,23
BAH,ITA,5
BAH,LEB,9
BAH,NZL,22
BAH,SWE,14
BAH,SWI,5
BAH,USA,41
BAR,CAN,82
BDI,ANG,8
BDI,ARE,37
BDI,ARG,5
BDI,AUL,27
BDI,AUS,16
BDI,BEL,305
BDI,BKF,28
BDI,BOT,73
BDI,BRA,33
BDI,CAN,2114
BDI,CAR,26
BDI,CMR,67
BDI,COB,96
BDI,COD,9259
BDI,DEN,16
BDI,ETH,62
BDI,FRA,367
BDI,GAB,5
BDI,GBR,163
BDI,GFR,71
BDI,GNB,13
BDI,GRE,6
BDI,GUI,7
BDI,ICO,34
BDI,IRE,20
BDI,ITA,12
BDI,JPN,7
BDI,KEN,657
BDI,MLI,25
BDI,MLW,1335
BDI,MOZ,971
BDI,NAM,209
BDI,NET,1131
BDI,NOR,278
BDI,RSA,3653
BDI,RWA,388
BDI,SEN,50
BDI,SPA,5
BDI,SWA,113
BDI,SWE,830
BDI,SWI,66
BDI,TAN,34313
BDI,TOG,5
BDI,TUR,5
BDI,UGA,11903
BDI,UKR,6
BDI,USA,563
BDI,ZAM,2501
BDI,ZIM,593
BEL,CAN,16
BEL,GFR,5
BEL,SWE,13
BEL,USA,42
BEN,AUS,5
BEN,BEL,27
BEN,CAN,50
BEN,FRA,24
BEN,GBR,10
BEN,GFR,30
BEN,ITA,70
BEN,NET,7
BEN,SWE,5
BEN,SWI,26
BEN,USA,76
BGD,AUL,351
BGD,AUS,141
BGD,BEL,13
BGD,BRA,5
BGD,BUL,8
BGD,CAN,1483
BGD,CYP,5
BGD,DEN,14
BGD,EST,5
BGD,FIN,22
BGD,FRA,3717
BGD,GBR,930
BGD,GFR,153
BGD,GRE,167
BGD,HUN,6
BGD,IRE,7
BGD,ITA,1357
BGD,JPN,15
BGD,KOR,73
BGD,MEX,5
BGD,MLS,13
BGD,MTA,6
BGD,NET,43
BGD,NOR,13
BGD,NZL,6
BGD,PER,12
BGD,POL,6
BGD,RSA,849
BGD,RUS,9
BGD,SOM,5
BGD,SPA,15
BGD,SWE,250
BGD,SWI,54
BGD,TRT,8
BGD,UKR,6
BGD,USA,1096
BHS,CAN,26
BHS,RSA,5
BHS,USA,185
BHU,BRA,29
BHU,CAN,22
BHU,DEN,5
BHU,FRA,109
BHU,GBR,91
BHU,GFR,28
BHU,IRE,5
BHU,LUX,5
BHU,NEP,23059
BHU,NET,209
BHU,NOR,5
BHU,SWE,9
BHU,USA,57
BKF,AUS,11
BKF,BEL,55
BKF,CAN,136
BKF,CAR,7
BKF,FIN,5
BKF,FRA,107
BKF,GBR,6
BKF,GFR,37
BKF,GRE,12
BKF,ICO,5
BKF,ITA,599
BKF,LBR,5
BKF,NET,13
BKF,NOR,5
BKF,SPA,5
BKF,SWE,5
BKF,SWI,7
BKF,SYR,6
BKF,USA,827
BLR,AUL,5
BLR,AUS,109
BLR,BEL,41
BLR,CAN,227
BLR,COS,8
BLR,CZE,375
BLR,EST,7
BLR,FIN,13
BLR,FRA,502
BLR,GBR,175
BLR,GFR,155
BLR,GRE,5
BLR,HRV,5
BLR,IRE,49
BLR,ITA,31
BLR,LTU,31
BLR,LUX,6
BLR,LVA,7
BLR,MTA,9
BLR,NET,105
BLR,NOR,22
BLR,NZL,5
BLR,PAN,7
BLR,POL,205
BLR,POR,19
BLR,RUS,5
BLR,SPA,14
BLR,SWE,177
BLR,SWI,33
BLR,UKR,21
BLR,USA,1923
BOL,ARG,5
BOL,AUS,11
BOL,BRA,145
BOL,CAN,126
BOL,COL,5
BOL,COS,8
BOL,FRA,35
BOL,GBR,18
BOL,GFR,7
BOL,IRE,6
BOL,ITA,9
BOL,PAR,17
BOL,PER,7
BOL,SPA,7
BOL,SWE,70
BOL,USA,118
BOT,CAN,218
BOT,GBR,11
BOT,USA,5
BRA,AUL,5
BRA,CAN,172
BRA,ECU,5
BRA,FIN,5
BRA,FRA,11
BRA,GBR,13
BRA,GFR,58
BRA,IRE,5
BRA,ITA,31
BRA,SWE,7
BRA,SWI,9
BRA,USA,656
BSN,ARG,6
BSN,AUS,206
BSN,BEL,44
BSN,BRA,5
BSN,CAN,83
BSN,CYP,15
BSN,CZE,9
BSN,DEN,53
BSN,FIN,17
BSN,FRA,4078
BSN,GBR,49
BSN,GFR,1381
BSN,HRV,396
BSN,IRE,14
BSN,ITA,375
BSN,JOR,9
BSN,LUX,7
BSN,MCD,6
BSN,MNE,608
BSN,NET,151
BSN,NOR,19
BSN,PAN,5
BSN,PER,5
BSN,POR,11
BSN,SRB,11325
BSN,SVN,11
BSN,SWE,360
BSN,SWI,2460
BSN,USA,175
BUL,AUS,5
BUL,BEL,18
BUL,CAN,668
BUL,COS,13
BUL,CZE,15
BUL,FRA,78
BUL,GBR,7
BUL,GFR,91
BUL,IRE,35
BUL,NET,5
BUL,NOR,11
BUL,NZL,7
BUL,RSA,5
BUL,SWE,23
BUL,SWI,11
BUL,USA,652
BZE,CAN,9
BZE,USA,33
CAM,AUL,25
CAM,BEL,5
CAM,CAN,162
CAM,CMR,5
CAM,FIN,5
CAM,FRA,12003
CAM,GFR,26
CAM,ICO,28
CAM,JPN,31
CAM,MLS,52
CAM,NET,31
CAM,SWE,5
CAM,SWI,356
CAM,THA,65
CAM,USA,267
CAN,GBR,6
CAN,GFR,34
CAN,USA,49
CAR,ANG,9
CAR,ARE,5
CAR,BEL,19
CAR,BEN,234
CAR,BKF,40
CAR,BRA,5
CAR,CAN,67
CAR,CHD,91783
CAR,CMR,220702
CAR,COB,21695
CAR,COD,68165
CAR,FRA,1004
CAR,GAB,18
CAR,GBR,9
CAR,GRE,7
CAR,GUI,43
CAR,ICO,240
CAR,IRE,10
CAR,ITA,32
CAR,MAU,217
CAR,MLI,874
CAR,MOR,5
CAR,NET,8
CAR,NGR,11
CAR,NIG,77
CAR,NOR,7
CAR,ROM,6
CAR,RSA,8
CAR,SSD,2040
CAR,SUD,4113
CAR,SWI,9
CAR,TOG,337
CAR,UGA,14
CAR,USA,215
CAY,USA,6
CHD,ANG,177
CHD,ARE,40
CHD,AUL,5
CHD,BEL,36
CHD,BKF,90
CHD,CAN,474
CHD,CAR,207
CHD,CMR,1738
CHD,COB,45
CHD,COD,5
CHD,FRA,1197
CHD,GAB,661
CHD,GBR,39
CHD,GFR,16
CHD,GHA,6
CHD,ICO,17
CHD,ITA,335
CHD,LBY,20
CHD,MAU,5
CHD,MTA,5
CHD,NET,13
CHD,NGR,158
CHD,NIG,79
CHD,NOR,5
CHD,RSA,6
CHD,RWA,7
CHD,SEN,16
CHD,SUD,42334
CHD,SWE,6
CHD,SWI,48
CHD,SYR,6
CHD,TOG,20
CHD,TUN,5
CHD,UGA,5
CHD,UKR,7
CHD,USA,403
CHI,ALB,12
CHI,ARE,5
CHI,AUL,2883
CHI,AUS,457
CHI,BEL,1051
CHI,CAN,13231
CHI,CYP,5
CHI,CZE,14
CHI,DEN,25
CHI,ECU,12
CHI,FIN,90
CHI,FRA,2476
CHI,GBR,1847
CHI,GFR,1530
CHI,GRE,32
CHI,HUN,6
CHI,IND,109018
CHI,INS,27
CHI,IRE,45
CHI,ITA,98
CHI,JPN,79
CHI,KAZ,9
CHI,KOR,27
CHI,LIE,6
CHI,LUX,5
CHI,MEX,5
